Unnamed: 0,ID,Salary,Designation,Gender,DOB,10percentage,10board,12graduation,12percentage,12board,Degree,Specialization,collegeGPA,GraduationYear,English,Logical,Quant,Domain,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience
train,203097,420000,senior quality engineer,f,1990,84.3,state,2007,95.8,state,B.Tech/B.E.,computer engineering,78.0,2011,515,585,525,0.635978756456794,0.9737,0.8128,0.5269,1.3549,-0.4455
train,579905,500000,assistant manager,m,1989,85.4,cbse,2007,85.0,cbse,B.Tech/B.E.,electronics and communication engineering,70.06,2012,695,610,780,0.960603251997053,-0.7335,0.3789,1.2396,-0.1076,0.8637
train,810601,325000,systems engineer,f,1992,85.0,cbse,2010,68.2,cbse,B.Tech/B.E.,information technology,70.0,2014,615,545,370,0.450876584483451,0.2718,1.7109,0.1637,-0.8682,0.6721
train,343523,200000,get,m,1991,78.0,cbse,2008,76.8,cbse,B.Tech/B.E.,electronics and communication engineering,73.9,2012,545,625,465,0.124502074009537,-0.880999999999999,-0.2793,-1.0697,0.0916299999999999,-0.1295
train,1027655,300000,system engineer,m,1992,89.92,state,2010,87.0,state,B.Tech/B.E.,electronics and communication engineering,76.32,2014,560,555,620,-1.0,-0.3027,-0.6201,-2.2954,-0.7415,-0.8608
train,912934,400000,mechanical engineer,m,1992,92.0,cbse,2010,91.0,cbse,B.Tech/B.E.,mechanical engineering,8.58,2016,545,555,590,0.829584599793067,-0.0154,1.2114,0.01,0.1459,1.247
train,552574,600000,electrical engineer,m,1991,90.0,cbse,2009,91.2,cbse,B.Tech/B.E.,electronics and electrical engineering,85.03,2013,615,670,530,0.694479327708463,-0.159,0.5454,-0.6048,-0.7415,-0.2859
train,1203363,230000,project engineer,m,1993,77.0,cbse,2010,72.2,cbse,B.Tech/B.E.,electronics and communication engineering,78.0,2014,605,565,545,0.493596387301038,-1.308,0.5454,-0.9122,0.9066,0.0973
train,87291,600000,senior php developer,m,1989,88.6,state,2006,83.7,state,B.Tech/B.E.,computer engineering,74.9,2010,565,455,565,0.765673581234011,0.0464,0.8128,0.0914,0.1798,0.0284
train,190393,450000,senior systems engineer,m,1990,81.0,cbse,2007,86.0,cbse,B.Tech/B.E.,information technology,72.29,2011,495,605,715,0.968237495890543,-2.272,1.1248,0.8171,-0.4078,-0.4455
train,606655,270000,quality assurance engineer,m,1990,83.6,state,2008,69.83,state,B.Tech/B.E.,electronics & telecommunications,60.0,2013,380,580,470,0.229481754911755,0.1282,0.5454,-0.7585,-0.995,0.8637
train,431800,200000,qa analyst,m,1990,60.8,cbse,2008,62.4,cbse,B.Tech/B.E.,electronics and communication engineering,60.0,2012,495,425,645,0.538386892985096,0.3555,0.0328,-0.598,-0.2902,-1.2354
train,1279958,300000,java software engineer,m,1992,81.2,state,2008,79.9,state,B.Tech/B.E.,instrumentation and control engineering,67.67,2013,395,565,645,-1.0,0.7027,0.7119,0.01,-0.995,0.6721
train,536517,350000,network engineer,f,1990,69.54,icse,2008,64.43,icse,B.Tech/B.E.,information technology,63.0,2012,485,520,355,0.308400582860308,1.7465,1.9048,0.672,-0.2902,1.2528
train,1087625,325000,product development engineer,m,1992,85.8,cbse,2010,74.8,cbse,B.Tech/B.E.,electronics and communication engineering,64.8,2014,685,530,620,-1.0,1.1336,1.0449,0.7785,-0.6147,-0.8608
train,874596,250000,associate software developer,m,1987,60.8,cbse,2006,66.66,cbse,MCA,computer application,74.74,2013,465,585,515,0.911395278391328,0.8463,1.0449,-1.0659,-1.6289,0.6721
train,711342,120000,data entry operator,m,1992,65.0,state,2008,64.8,icse,B.Tech/B.E.,computer science & engineering,69.54,2013,465,495,515,0.563267823666597,-0.159,0.3789,1.3933,-0.2344,1.4386
train,466888,325000,software engineer,f,1990,79.0,cbse,2008,62.2,cbse,B.Tech/B.E.,computer engineering,76.3,2012,485,445,435,0.864685413370085,0.8192,0.2668,-0.2714,-0.4078,-0.1295
train,140069,320000,software engineer,f,1988,91.2,state,2006,84.63,state,B.Tech/B.E.,computer engineering,78.15,2010,455,535,445,0.635978756456794,-0.1082,0.9688,0.5269,-0.2902,0.3444
train,339689,200000,software engineer,f,1991,75.67,state,2007,74.4,state,B.Tech/B.E.,information technology,74.01,2012,385,555,445,0.635978756456794,-1.0355,-0.5913,-1.3599,0.0622299999999999,-1.3539
train,995191,190000,developer,m,1992,92.5,state,2009,95.2,state,B.Tech/B.E.,electronics and communication engineering,76.0,2013,395,455,485,-1.0,-0.4463,-0.6201,-0.6048,0.7798,-2.7769
train,990077,180000,electrical project engineer,m,1986,70.0,state,2006,43.42,state,B.Tech/B.E.,electronics and communication engineering,55.52,2014,370,360,270,0.649389714846691,-0.7335,-2.1186,-1.9881,-0.4879,-5.0763
train,963123,335000,programmer analyst,m,1993,88.0,state,2010,90.0,state,B.Tech/B.E.,computer science & engineering,76.0,2014,625,555,630,0.356536487724475,0.4155,0.8027,0.1357,-0.995,-0.6692
train,350211,435000,systems analyst,f,1991,86.8,cbse,2008,82.8,cbse,B.Tech/B.E.,computer science & engineering,78.0,2012,575,585,575,0.744758354008939,0.0464,1.2028,-0.9245,0.5323,-0.2875
train,65096,345000,senior software engineer,m,1988,90.88,state,2006,82.5,state,B.Tech/B.E.,computer engineering,66.15,2010,415,335,405,0.884122511593735,0.8192,0.1888,-1.7954,1.8249,1.1343
train,810458,300000,ase,m,1993,76.8,state,2009,83.0,state,B.Tech/B.E.,electronics and communication engineering,76.44,2014,535,510,605,0.881620069530177,0.99,1.3779,0.7785,-0.2344,-0.6692
train,918981,145000,telecommunication engineer,m,1994,84.0,cbse,2011,68.0,cbse,B.Tech/B.E.,electronics and communication engineering,72.0,2015,580,570,385,0.207392169717661,0.1282,0.7119,1.3933,-0.3612,-0.0943
train,472956,220000,java software engineer,m,1992,64.0,cbse,2010,74.0,cbse,B.Tech/B.E.,information technology,68.0,2014,485,375,435,0.486747008438193,-3.1994,-1.8393,0.0552,0.0623,-0.7615
train,192703,530000,systems engineer,m,1989,84.0,state,2007,92.0,state,B.Tech/B.E.,computer engineering,77.2,2011,475,405,695,0.670743151433127,-0.4173,0.6568,-0.0537,-1.2303,-0.9194
train,1094324,340000,software engineer,m,1992,77.2,state,2010,86.1,state,B.Tech/B.E.,computer science & engineering,71.0,2014,560,485,450,0.622642915849938,-0.0154,1.2114,1.0859,-1.5021,0.2889
train,580616,360000,application developer,f,1991,87.0,cbse,2009,84.4,cbse,B.Tech/B.E.,computer engineering,79.3,2013,570,475,295,0.413838255788123,-0.7335,-0.4536,-1.0659,1.1601,-0.4776
train,1208010,145000,ios developer,m,1992,73.0,state,2010,68.4,state,B.Tech/B.E.,information technology,74.3,2014,560,530,605,0.911395278391328,-0.7335,0.5454,-0.7585,-0.6147,1.4386
train,1073190,215000,executive assistant,f,1989,71.0,cbse,2009,68.0,icse,B.Tech/B.E.,computer science & engineering,70.86,2013,430,510,405,0.356536487724475,1.5644,1.0449,0.3174,-1.8824,1.0554
train,942679,350000,online marketing manager,f,1990,85.0,cbse,2008,61.0,cbse,B.Tech/B.E.,electronics and communication engineering,64.98,2011,570,475,430,-1.0,-0.4854,-0.5213,2.1129,-0.735,1.8224
train,602377,270000,software engineer,f,1992,91.5,state,2009,93.8,state,B.Tech/B.E.,computer engineering,74.1,2013,380,535,530,0.525922584252055,-1.0208,0.2124,0.4711,0.2727,-0.0943
train,922508,80000,documentation specialist,m,1993,77.0,cbse,2010,85.4,cbse,B.Tech/B.E.,electronics and communication engineering,63.9,2014,475,605,415,0.649389714846691,0.2718,0.5454,0.3174,-1.8824,-0.4776
train,550371,330000,associate software engineer,m,1991,52.33,state,2007,67.0,state,MCA,computer application,77.15,2013,450,525,545,0.735795709224656,-0.0154,1.2114,0.6248,0.7798,0.8637
train,533417,200000,management trainee,m,1991,88.0,state,2008,89.66,state,B.Tech/B.E.,electronics and communication engineering,76.4,2012,510,640,635,0.124502074009537,0.3941,1.2808,0.2366,-2.1998,-0.4455
train,245887,120000,site manager,m,1989,66.6,cbse,2007,68.6,state,B.Tech/B.E.,mechanical engineering,60.22,2011,425,595,475,0.130441735719574,-0.4173,0.3448,0.0914,-0.4078,0.6603
